Year	Mortality
1900	35359
1901	36946
1902	34145
1903	33378
1904	30946
1905	34673
1906	32998
1907	33576
1908	29119
1909	33095
1910	33120
1911	31194
1912	30574
1913	29801
1914	30112
1915	28767
1916	31177
1917	35029
1918	59541
1919	34611
1920	36330
1921	31938
1922	33417
1923	34638
1924	34173
1925	34269
1926	32094
1927	33619
1928	34191
1929	37691
1930	34095
1931	44786
1932	39559
1933	39428
1934	38573
1935	41179
1936	36392
1937	42312
1938	41417
1939	41078
1940	40301
1941	43804
1942	35872
1943	30814
1944	30783
1945	27745
1946	26979
1947	27627
1948	22822
1949	23934
1950	21835
1951	26565
1952	18525
1953	17329
1954	14979
1955	16611
1956	17716
1957	18609
1958	14264
1959	15215
1960	13662
1961	12762
1962	13257
1963	13322
1964	11902
1965	11222
1966	10906
1967	10511
1968	10615
1969	9734
1970	9981
1971	13220
1972	11596
1973	13023
1974	12210
1975	11506
1976	11495
1977	10897
1978	10240
1979	9043
1980	9305
1981	9267
1982	7644
1983	8269
1984	7343
1985	8009
1986	7711
1987	6934
1988	6803
1989	6826
1990	7345
1991	6533
1992	6516
1993	6981
1994	6659
1995	7103
1996	7144
1997	7337
1998	
1999	
